"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"9788","RT @FoxNewsSunday: .@CarlyFiorina on bipartisanship : ""Everybody says they want to secure the border.  It doesn't happen""    #FNS",FALSE,0,NA,2015-09-20 14:16:12,FALSE,NA,"645602362518827008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","karenwa65203937",46,TRUE,FALSE,NA,NA
"9789","RT @madmommadmom: .@CarlyFiorina WHERE is that abortion video you described in such clear sensational detail at the #GOPDebate?  Can't find…",FALSE,0,NA,2015-09-20 14:16:10,FALSE,NA,"645602354398494720",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","carol_clovely4",5,TRUE,FALSE,NA,NA
"9790","@neill3422 @greta @CarlyFiorina @RealBenCarson Absolutely",FALSE,0,"neill3422",2015-09-20 14:16:10,FALSE,"645601092072546304","645602352649666560","3712080915","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lirparob43",0,FALSE,FALSE,NA,NA
"9791","@TheDanRather @glennbeck @CarlyFiorina @theblaze ""When Tomorrow Starts Without Me...I'm Right Here In Your Heart"" http://t.co/jwiDeB9rbb :)",FALSE,0,"TheDanRather",2015-09-20 14:16:08,FALSE,NA,"645602347092209664","36711022","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ROXINEEVANSCOM",0,FALSE,FALSE,NA,NA
"9792","RT @mitchellvii: New NBC Poll (finally!): @CarlyFiorina won the debate but @realDonaldTrump CRUSHES in voter preference: 29% to 11%. http:/…",FALSE,0,NA,2015-09-20 14:16:08,FALSE,NA,"645602345053777920",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","Keeping__Real",56,TRUE,FALSE,NA,NA
"9793","@NBCNews @CarlyFiorina @realDonaldTrump TRUMP STILL #1 - GO TRUMP !! http://t.co/iqJjiH5ByZ",FALSE,1,"NBCNews",2015-09-20 14:16:01,FALSE,"645584118563106816","645602316008165380","14173315","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WGinetta",0,FALSE,FALSE,NA,NA
"9794","@CarlyFiorina tipped her hand on states rights tonight. When you dig further this is just some of what you find.. http://t.co/7oYKLSP2no""U?",FALSE,0,"CarlyFiorina",2015-09-20 14:15:59,FALSE,NA,"645602306336100353","65691824","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","Rixon_tk",0,FALSE,FALSE,NA,NA
"9795","Geez! @CarlyFiorina surged all the way from high of 6.3% pre-debate to 6.3% post-debate! Wow! Remarkable! Superwoman! @FoxNews #carlyfiorina",FALSE,64,NA,2015-09-20 14:15:57,FALSE,NA,"645602297905483776",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Stonewall_77",64,FALSE,FALSE,NA,NA
"9796","@CarlyFiorina @FoxNewsSunday Compaq, and that acquisition was a financial disaster but @foxnews @cnn @jaketapper ignore that truth",FALSE,1,"CarlyFiorina",2015-09-20 14:15:55,FALSE,"645386959016214528","645602291089809408","65691824","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Layofflist",2,FALSE,FALSE,NA,NA
"9797","RT @CNNPolitics: Poll: @CarlyFiorina rockets to No. 2 behind @realDonaldTrump in GOP field http://t.co/1EotL0rRBA http://t.co/sDF4iaM7Nd",FALSE,0,NA,2015-09-20 14:15:52,FALSE,NA,"645602278146220032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jennifer_munozz",147,TRUE,FALSE,NA,NA
"9798","RT @rosegra21103351: She hasn't memorized any yet! @CarlyFiorina is a phony and is establishment! https://t.co/oZUksjEM8W",FALSE,0,NA,2015-09-20 14:15:35,FALSE,NA,"645602205668626432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Debramax",8,TRUE,FALSE,NA,NA
"9799","RT @NBCNews: #BREAKING: @CarlyFiorina won #GOP debate, but @realDonaldTrump still leads — NBC survey http://t.co/USAXcVUHtp http://t.co/rTu…",FALSE,0,NA,2015-09-20 14:15:27,FALSE,NA,"645602171401187328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jennifer_munozz",113,TRUE,FALSE,NA,NA
"9800","@CarlyFiorina doubles down on her lie on #PlannedParenthood on @FoxNewsSunday. She says the video was true.",FALSE,0,"CarlyFiorina",2015-09-20 14:15:23,FALSE,NA,"645602155664044032","65691824","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Truth_Seeker59",0,FALSE,FALSE,NA,NA
"9801","@meetthepress @PolitiFact @CarlyFiorina @PPact Fiorina Loves Hillary Clinton. Hillary Carlys hero in this video. https://t.co/RqMl73fIws … …",FALSE,0,"meetthepress",2015-09-20 14:15:18,FALSE,"645592551530086400","645602134621208576","11856892","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","michael_favreau",0,FALSE,FALSE,NA,NA
"9802","RT @CNNPolitics: Poll: @CarlyFiorina rockets to No. 2 behind @realDonaldTrump in GOP field http://t.co/1EotL0rRBA http://t.co/sDF4iaM7Nd",FALSE,0,NA,2015-09-20 14:15:15,FALSE,NA,"645602122998882304",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","grassrootscg",147,TRUE,FALSE,NA,NA
"9803","Chris keeps lying......15% is NOT a Government shutdown. STOP LYING! @FoxNewsSunday @CarlyFiorina",FALSE,1,"FoxNewsSunday",2015-09-20 14:15:11,FALSE,"645587649231736833","645602104996950016","18805644","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lilium479",1,FALSE,FALSE,NA,NA
"9804","@carlyforamerica @CarlyFiorina @FoxNewsSunday We have our first woman President of the United States of America. A great one also!",FALSE,0,"carlyforamerica",2015-09-20 14:15:11,FALSE,"645601005632024578","645602104367820800","3048252359","<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","SophiaOnesto",0,FALSE,FALSE,NA,NA
"9805","RT @FoxNews: .@ericbolling: ""In the very short term, I think [@CarlyFiorina] can move into 3rd or 4th place."" #TheFive http://t.co/V0Ax2q0X…",FALSE,0,NA,2015-09-20 14:15:10,FALSE,NA,"645602103906316288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","huskerbeef",58,TRUE,FALSE,NA,NA
"9806","RT @newsbusters: .@CarlyFiorina Calls Out ‘Mainstream Media’ for Defending Planned Parenthood http://t.co/3vcUdKxBYE",FALSE,0,NA,2015-09-20 14:15:10,FALSE,NA,"645602100219539458",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","herkynav",12,TRUE,FALSE,NA,NA
"9807","RT @carlyforamerica: .@carlyfiorina discusses being an outsider and the need to defund #PlannedParenthood on @FoxNewsSunday. http://t.co/5m…",FALSE,0,NA,2015-09-20 14:15:07,FALSE,NA,"645602087565426689",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","CarlyCanDo",12,TRUE,FALSE,NA,NA
"9808","RT @bsherrie64: @FoxNewsSunday @johnrobertsFox @CarlyFiorina really if u vote for carly you're  voting for Hellary....neither safe to have",FALSE,0,NA,2015-09-20 14:15:04,FALSE,NA,"645602077801058304",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","wsoswald_",1,TRUE,FALSE,NA,NA
"9809","@CarlyFiorina is the Establishments new @JebBush  https://t.co/bfH7HT942C",FALSE,0,"CarlyFiorina",2015-09-20 14:15:03,FALSE,NA,"645602071987810304","65691824","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nemo7625",0,FALSE,FALSE,NA,NA
"9810","RT @mitchellvii: New NBC Poll (finally!): @CarlyFiorina won the debate but @realDonaldTrump CRUSHES in voter preference: 29% to 11%. http:/…",FALSE,0,NA,2015-09-20 14:15:01,FALSE,NA,"645602065230659584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RonBasler1",56,TRUE,FALSE,NA,NA
"9811","RT @CNNPolitics: Poll: @CarlyFiorina rockets to No. 2 behind @realDonaldTrump in GOP field http://t.co/1EotL0rRBA http://t.co/sDF4iaM7Nd",FALSE,0,NA,2015-09-20 14:14:49,FALSE,NA,"645602014173376512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","miguelsoto_9",147,TRUE,FALSE,NA,NA
"9812","RT @FoxNewsSunday: .@CarlyFiorina on Planned Parenthood:  Taxpayer money is being used to fund butchery.  #FNS",FALSE,0,NA,2015-09-20 14:14:46,FALSE,NA,"645602000290361344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","miguelsoto_9",119,TRUE,FALSE,NA,NA
"9813","RT @res0416h: @FoxNewsSunday @johnrobertsFox @CarlyFiorina And she calls that a success? They ignore questions when called out on their rec…",FALSE,0,NA,2015-09-20 14:14:45,FALSE,NA,"645601997144592384",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","wsoswald_",1,TRUE,FALSE,NA,NA
"9814","@FoxNewsSunday @FoxNews @CarlyFiorina 1 of Trumps pillars of strength is stressing the Vet problems. Please raise your intensity for Vets!!!",FALSE,0,"FoxNewsSunday",2015-09-20 14:14:45,FALSE,"645585536585961472","645601996746063872","18805644","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Vet5000",0,FALSE,FALSE,NA,NA
"9815","RT @CNNSotu: Why are you better than @carlyfiorina? @chrischristie says: look at what I've done in New Jersey vetoing more tax increases th…",FALSE,0,NA,2015-09-20 14:14:44,FALSE,NA,"645601991377448960",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","DemocratDaily",21,TRUE,FALSE,NA,NA
"9816","RT @WuWCVB: .@maryannemarsh @JOSreports dish @HillaryClinton @realDonaldTrump @CarlyFiorina @Uber w/Kraft/Healey, Brady/Trump OTR 11AM #wcv…",FALSE,0,NA,2015-09-20 14:14:40,FALSE,NA,"645601975745253376",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","deehan",3,TRUE,FALSE,NA,NA
"9817","RT @res0416h: @FoxNewsSunday @johnrobertsFox @CarlyFiorina also instigated buying Compaq  when they were on their way out. 700,000,000.00 s…",FALSE,0,NA,2015-09-20 14:14:38,FALSE,NA,"645601968010956800",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","wsoswald_",1,TRUE,FALSE,NA,NA
"9818","@PressTV 

@realDonaldTrump
@CarlyFiorina
@SenTedCruz
@MarcoRubio
@RandPaul

@MartinOMalley
@SenSanders
@HillaryClinton
@VP",FALSE,0,"PressTV",2015-09-20 14:14:36,FALSE,"645496744793534464","645601960704344065","192547775","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PhilDeCarolis",0,FALSE,FALSE,NA,NA
"9819","@mitchellvii @pacsgirl36 @CarlyFiorina @realDonaldTrump how much power does the Queen have, enough said world not ready",FALSE,0,"mitchellvii",2015-09-20 14:14:35,FALSE,"645591047184252928","645601956128387072","17980523","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SpreadTheLoveKL",0,FALSE,FALSE,NA,NA
