"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"4042","RT @IDlifeWarrior: The @IDlifeWarrior has had enough of @realDonaldTrump.  #trump #cnn #abc #nbc #msnbc #gop #veterans #GOPDebate #usa http…",FALSE,0,NA,2015-09-20 03:22:42,FALSE,NA,"645437905318469634",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","ulzmysterio",3869,TRUE,FALSE,NA,NA
"4043","RT @IDlifeWarrior: The @IDlifeWarrior has had enough of @realDonaldTrump.  #trump #cnn #abc #nbc #msnbc #gop #veterans #GOPDebate #usa http…",FALSE,0,NA,2015-09-20 03:22:42,FALSE,NA,"645437904265834496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmeliaEastment",3869,TRUE,FALSE,NA,NA
"4044","RT @realDonaldTrump: A great night in Iowa! https://t.co/vfCRhwTkTU",FALSE,0,NA,2015-09-20 03:22:42,FALSE,NA,"645437902764310528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jrwillisjr",1018,TRUE,FALSE,NA,NA
"4045","RT @IDlifeWarrior: The @IDlifeWarrior has had enough of @realDonaldTrump.  #trump #cnn #abc #nbc #msnbc #gop #veterans #GOPDebate #usa http…",FALSE,0,NA,2015-09-20 03:22:41,FALSE,NA,"645437897932451840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","quonjoscelin",3869,TRUE,FALSE,NA,NA
"4046","RT @IDlifeWarrior: The @IDlifeWarrior has had enough of @realDonaldTrump.  #trump #cnn #abc #nbc #msnbc #gop #veterans #GOPDebate #usa http…",FALSE,0,NA,2015-09-20 03:22:41,FALSE,NA,"645437897903095808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WorthRosa",3869,TRUE,FALSE,NA,NA
"4047","RT @IDlifeWarrior: The @IDlifeWarrior has had enough of @realDonaldTrump.  #trump #cnn #abc #nbc #msnbc #gop #veterans #GOPDebate #usa http…",FALSE,0,NA,2015-09-20 03:22:41,FALSE,NA,"645437897894690816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","prischa835",3869,TRUE,FALSE,NA,NA
"4048","RT @IDlifeWarrior: The @IDlifeWarrior has had enough of @realDonaldTrump.  #trump #cnn #abc #nbc #msnbc #gop #veterans #GOPDebate #usa http…",FALSE,0,NA,2015-09-20 03:22:41,FALSE,NA,"645437897877884928",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lambeshermy",3869,TRUE,FALSE,NA,NA
"4049","RT @IDlifeWarrior: The @IDlifeWarrior has had enough of @realDonaldTrump.  #trump #cnn #abc #nbc #msnbc #gop #veterans #GOPDebate #usa http…",FALSE,0,NA,2015-09-20 03:22:40,FALSE,NA,"645437895155650560",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","bloodbeav",3869,TRUE,FALSE,NA,NA
"4050","RT @realDonaldTrump: A great night in Iowa! https://t.co/vfCRhwTkTU",FALSE,0,NA,2015-09-20 03:22:40,FALSE,NA,"645437894094663680",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","dtm1111",1018,TRUE,FALSE,NA,NA
"4051","RT @IDlifeWarrior: The @IDlifeWarrior has had enough of @realDonaldTrump.  #trump #cnn #abc #nbc #msnbc #gop #veterans #GOPDebate #usa http…",FALSE,0,NA,2015-09-20 03:22:39,FALSE,NA,"645437891926167552",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MonaPuccia",3869,TRUE,FALSE,NA,NA
"4052","RT @IDlifeWarrior: The @IDlifeWarrior has had enough of @realDonaldTrump.  #trump #cnn #abc #nbc #msnbc #gop #veterans #GOPDebate #usa http…",FALSE,0,NA,2015-09-20 03:22:39,FALSE,NA,"645437891741655040",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UhlMay",3869,TRUE,FALSE,NA,NA
